date,ticker,spot,open,call_vol,put_vol,call_oi,put_oi,call_prem,put_prem,pc_vol,pc_oi,n_expiries,atm_iv,iv_skew,exp_move,vix,vxn,ovx,sp500,nasdaq
2026-07-13,JPM,336.47,337.47,23172,12549,565,109,52468268.0,4731864.0,0.5416,0.1929,7,0.0156,0.0,0.0046,17.15999984741211,27.299999237060547,60.25,7515.33984375,25873.1796875
2026-07-13,META,669.21,660.34,396414,124981,4,21,622913530.0,74864886.0,0.3153,5.25,8,0.0156,0.0,0.0041,17.15999984741211,27.299999237060547,60.25,7515.33984375,25873.1796875
2026-07-13,MSFT,385.1,387.8,197995,59744,0,0,75276103.0,57853645.0,0.3017,,8,0.0156,0.0,0.0041,17.15999984741211,27.299999237060547,60.25,7515.33984375,25873.1796875
2026-07-13,NVDA,210.96,202.0,1307747,577870,0,0,545882290.0,84539643.0,0.4419,,8,0.0234,0.0312,0.0061,17.15999984741211,27.299999237060547,60.25,7515.33984375,25873.1796875
2026-07-13,TSLA,407.76,410.49,607813,422261,212,1246,358541665.0,204531659.0,0.6947,5.8774,8,0.0156,0.0,0.0046,17.15999984741211,27.299999237060547,60.25,7515.33984375,25873.1796875
2026-07-13,WMT,113.9,111.95,55311,18015,0,0,7772195.0,9433096.0,0.3257,,7,0.0156,0.0,0.0046,17.15999984741211,27.299999237060547,60.25,7515.33984375,25873.1796875
2026-07-13,XOM,138.88,137.9,29175,6557,1,19,3210241.0,1771647.0,0.2247,19.0,7,0.0156,0.0,0.0046,17.15999984741211,27.299999237060547,60.25,7515.33984375,25873.1796875
2026-07-14,AAPL,317.31,317.02,408428,194362,693399,401950,146390099.0,41383213.0,0.4759,0.5797,8,0.2909,0.0094,0.0848,16.5,26.280000686645508,59.88999938964844,7543.58984375,26107.009765625
2026-07-14,AMZN,247.31,244.68,255330,92409,613763,284908,165215598.0,98933480.0,0.3619,0.4642,8,0.4463,-0.0156,0.1301,16.5,26.280000686645508,59.88999938964844,7543.58984375,26107.009765625
2026-07-14,GOOGL,352.51,356.19,75262,42311,317433,233503,40970749.0,18347623.0,0.5622,0.7356,8,0.4106,-0.0343,0.1197,16.5,26.280000686645508,59.88999938964844,7543.58984375,26107.009765625
2026-07-14,JPM,334.53,338.34,46992,36518,565,109,56130769.0,6838755.0,0.7771,0.1929,6,0.0156,0.0,0.0046,16.5,26.280000686645508,59.88999938964844,7543.58984375,26107.009765625
2026-07-14,META,656.73,661.38,176479,71509,1,16,152942225.0,50982515.0,0.4052,16.0,8,0.0156,0.0,0.0046,16.5,26.280000686645508,59.88999938964844,7543.58984375,26107.009765625
2026-07-14,MSFT,390.99,387.75,219170,70524,0,3,109194911.0,64923450.0,0.3218,,8,0.0156,0.0,0.0046,16.5,26.280000686645508,59.88999938964844,7543.58984375,26107.009765625
2026-07-14,NVDA,203.53,208.54,717650,409502,1608913,1157036,149373907.0,135107164.0,0.5706,0.7191,8,0.4015,-0.0074,0.117,16.5,26.280000686645508,59.88999938964844,7543.58984375,26107.009765625
2026-07-14,TSLA,394.76,404.61,511752,374753,908806,715744,331067314.0,349393686.0,0.7323,0.7876,8,0.4828,-0.0194,0.1407,16.5,26.280000686645508,59.88999938964844,7543.58984375,26107.009765625
2026-07-14,WMT,114.78,114.73,57344,20815,215558,208833,7398744.0,9127752.0,0.363,0.9688,6,0.2763,-0.0305,0.0805,16.5,26.280000686645508,59.88999938964844,7543.58984375,26107.009765625
2026-07-14,XOM,144.51,140.92,58434,17775,177784,100500,15055635.0,2785640.0,0.3042,0.5653,6,0.3743,-0.0085,0.1091,16.5,26.280000686645508,59.88999938964844,7543.58984375,26107.009765625
2026-07-15,AAPL,,,377628,259495,0,0,137613482.0,35442225.0,0.6872,,8,,,,15.670000076293945,25.649999618530273,58.959999084472656,7572.39990234375,26269.23046875
2026-07-15,AMZN,,,306471,111003,0,0,187831093.0,94409380.0,0.3622,,8,,,,15.670000076293945,25.649999618530273,58.959999084472656,7572.39990234375,26269.23046875
2026-07-15,GOOGL,,,206008,63222,0,0,87782176.0,13073641.0,0.3069,,8,,,,15.670000076293945,25.649999618530273,58.959999084472656,7572.39990234375,26269.23046875
2026-07-15,JPM,,,69814,39547,522,109,55236244.0,5282729.0,0.5665,0.2088,7,,,,15.670000076293945,25.649999618530273,58.959999084472656,7572.39990234375,26269.23046875
2026-07-15,META,661.04,652.0,196049,92424,0,16,188615068.0,47392254.0,0.4714,,8,0.0156,0.0,0.0045,15.670000076293945,25.649999618530273,58.959999084472656,7572.39990234375,26269.23046875
